id,severity,area,file,function,lines,affects,summary,recommended_fix,regression_test
CHRON-001,High,chronology/data-integrity,"backtest_and_retrain.py; modules/baseball_module/calibration/learning_engine.py; modules/baseball_module/core/run_module.py","update_game_outcomes(); record_prediction(); update_outcome(); fetch_pending_outcomes()","backtest_and_retrain.py:1962-1984,2514-2523; learning_engine.py:270-339,408-444; run_module.py:125",both,"game_outcomes is shared, unprotected, between live-production writes and backtest overwrites. update_game_outcomes() does an unconditional UPDATE...WHERE game_pk=? with no guard distinguishing a live-authored row from a backtest-authored one. Empirically confirmed via DB read: 563 of 615 season-2026 rows already have backtest_run_at set (a backtest already processed them), 52 remain pure-live/unresolved. The next live run_module() call will auto-backfill actual_home_runs for any of those 52 that have concluded (fetch_pending_outcomes); the next backtest run scoped to include season 2026 will then silently overwrite their live-computed lambda_home/p_home/stage_factors_json with backtest-recomputed values, destroying the live-prediction provenance record with no versioning or audit trail. track_record.db's picks table is architecturally immune (separate DB, persists its own model_prob at publish time; currently 0 rows), so CLV/ROI grading is not yet at risk, but analyze_game_outcomes.py and any future analysis treating game_outcomes.p_home as ""what was live-predicted"" is.","Add a provenance column (e.g. source='live'|'backtest') set once at INSERT time by record_prediction() and never overwritten; have update_game_outcomes() either skip source='live' rows or write to separate backtest_lambda_home/backtest_p_home columns instead of clobbering the live ones.","New test: insert a game_outcomes row via record_prediction() (source='live'), run update_game_outcomes() against the same game_pk, assert lambda_home/p_home are unchanged (or land in separate backtest_* columns) and source stays 'live'."
MATH-002,Medium,math/PIT-adapter,modules/baseball_module/advanced_pit_enrichment/tte_pit_adapter.py,_compute_lambda,~168-200,backtest only,"tte_pit_adapter.py regresses barrel% toward league mean using plate appearances (pa) as the Bayesian sample size for all four metrics, but barrel% is fundamentally a per-batted-ball-event (attempts) rate, and PA is ~1.47x attempts. This under-shrinks barrel% specifically in the PIT-mode backtest path (used by the project's own cited --use-full-pit baseline), giving it a systematically more confident (less regressed) barrel signal than the live engine computes for the same team/date. Self-documented in-code as a known, deliberately deferred gap pending a separate PIT-cache batted_ball_count fix.",Use attempts (batted-ball-event count) as the Bayesian n for barrel% regression in tte_pit_adapter.py once the underlying PIT cache's batted_ball_count foul-inflation bug is fixed; until then this is accepted debt.,"Add a test asserting barrel_reg's shrinkage denominator equals a passed-in attempts count, not pa, once fixed; currently no test guards this distinction."
ODDS-001,Medium,odds/devig,"backtest_and_retrain.py; core/value_detector.py",_devig(); remove_vig_multiplicative(),"backtest_and_retrain.py:1989-1992; core/value_detector.py:107-111",both,"backtest_and_retrain.py implements its own multiplicative devig function, algebraically identical to but independent of core/value_detector.py's remove_vig_multiplicative (used live via _pinnacle_fair_probs). Currently mathematically consistent (both multiplicative), but this is the same duplicated-constant/logic-drift pattern already responsible for at least 4 other confirmed bugs in this codebase this session (LG_XWOBA, LG_DER, LG_BARREL_PA, stadium-name dictionaries). If the live method is ever changed to remove_vig_power/remove_vig_shin (both already implemented and explicitly proposed in the project's own roadmap for CLV comparison), the backtest's hardcoded copy would silently stop matching.",Import remove_vig_multiplicative from core/value_detector.py in backtest_and_retrain.py instead of maintaining a second copy.,"Add a test asserting backtest_and_retrain._devig (or its replacement import) produces identical output to core.value_detector.remove_vig_multiplicative for a range of odds pairs."
MATH-003,Low,math/calibration-freshness,modules/baseball_module/hfa/hfa_engine.py,HFAEngine.get_adjusted_lambdas / module constant _UNIFORM_HOME_MULT,15-34,52,97-98,both,"_UNIFORM_HOME_MULT=0.028 was sized from a residual win-probability analysis on a backtest that predates the truncation-bias reconciliation (report timestamps: round3_uniform_home_mult precedes round5_l0_reconstruction_fix). The constant's own docstring explicitly asks for re-validation against a fresh backtest after the truncation fix landed; no direct evidence found of that specific re-derivation having been performed as its own dedicated check (as opposed to being implicitly carried through later end-to-end validation rounds, whose final Brier did not regress).",Re-run the residual home-win-probability analysis described in the docstring now that the truncation correction is in place and confirm 0.028 is still correctly sized; or explicitly document that the round-10 end-to-end validation already supersedes the need for a standalone re-check.,"None currently exists; add a diagnostic script or test capturing the home-favorite/away-favorite residual by season, comparable to the one that originally derived 0.028."
FALL-001,Medium,fallback/weather,data_fetchers.py; modules/baseball_module/hfa/park_weather_engine.py,WeatherAPI.get_weather_for_stadium(); ParkWeatherEngine._weather_mult(),data_fetchers.py:1536-1554; park_weather_engine.py:360-378,live,"When get_weather_for_stadium() returns None (e.g. an unmapped/renamed venue - the general failure mode REG-015 was one confirmed instance of), park_weather_engine.py receives weather={} and silently computes a neutral multiplier with no metadata flag distinguishing ""genuinely neutral conditions"" from ""we don't actually know."" This is the general shape of a bug class that has already caused a real, confirmed production gap (4 renamed stadiums, fixed this session) and offers no structural protection against the next occurrence.",Add an explicit weather_source: 'live'|'missing' field to the adjustment metadata so a silent coordinate-lookup miss is distinguishable from a real neutral reading.,"Test: call adjust_for_park_and_weather with a stadium name absent from STADIUM_COORDS and assert the returned metadata flags the weather as missing, not merely neutral."
FALL-002,Medium,fallback/travel,data_fetchers.py,MLBStatsAPI.get_travel_fatigue(),1060-1074,live,"When either the previous or current venue is missing from STADIUM_COORDS, get_travel_fatigue() fabricates a specific, plausible-looking placeholder (1000 miles, 1 timezone) instead of returning an ""unknown"" signal - indistinguishable downstream from a real computed distance. This is exactly the kind of silent substitution that let REG-015 go undetected for 4 renamed stadiums until this session.",Return None or an explicit is_estimated flag instead of fabricated numbers; have hfa_engine.py fall back to no travel-fatigue adjustment (neutral) rather than a specific invented distance.,"Test: call get_travel_fatigue with a synthetic unmapped venue name and assert the result is flagged as estimated/unknown rather than a bare 1000/1 pair indistinguishable from a real computation."
MATH-001,Low,math/dead-code,modules/baseball_module/calibration/learning_engine.py,_l0_ratio(),"59-92, call sites 534,536,712",both,"_l0_ratio()'s stage_factors_json parameter is accepted at all 3 call sites (which fetch the column from SQL purely to pass it in) but never read in the function body - a leftover from two reverted denominator-change attempts documented in the function's own postmortem docstring. No behavior impact, but it misleads a future reader into thinking the parameter still matters.",Remove the unused parameter and the now-pointless stage_factors_json SQL fetch at the 2 call sites (or add a one-line comment marking it vestigial).,"None needed - removing an unused parameter cannot change behavior; existing test suite (462 tests) already covers these call sites."
LEARN-002,Medium,learning/monitoring,(none - absence confirmed via repo-wide grep),N/A,N/A,live,"No production monitor exists to detect a silently-disabled calibration mechanism, despite three independent, confirmed incidents of exactly that (team-bias look-ahead leak, Platt reset-to-identity via interrupted launch, Pinnacle gate silently disabling Platt-2D live for months). The project's own blueprint proposes a minimal check (% of live predictions where p_home != p_home_raw; % of rows with ml_home_pin not-NULL) but it has not been built.",Build the minimal monitor the project's own blueprint already specifies and alert when either percentage drops to zero.,"New test/monitor script asserting the live percentage metrics are computed and exposed somewhere (dashboard/log line), triggered on a synthetic all-identity-calibration dataset to confirm it would have caught REG-007-style failures."
DUP-001,Low,duplicated-logic/travel,backtest_and_retrain.py; data_fetchers.py,_travel_stats()/_geodesic_miles(); MLBStatsAPI.get_travel_fatigue(),backtest_and_retrain.py:265-278; data_fetchers.py:1013-1091,both,"Two independent travel-distance implementations exist: data_fetchers.py's schedule-aware, stadium-coordinate haversine (live) and backtest_and_retrain.py's static team-city-coordinate geodesic lookup (backtest). This may be an intentional performance/simplicity trade-off (backtest processes thousands of games and can't afford per-game schedule lookups) rather than a bug, but it is one more instance of this codebase's recurring duplicated-constant/logic pattern (5th+ instance found this audit) and was not previously documented as a deliberate design choice anywhere read this pass.",Document explicitly (in-code or in CONTRACTS.md) that these are intentionally different implementations for performance reasons if that is indeed the reason; otherwise unify.,"None - informational; if unified, a test comparing both implementations' output for a sample of real team pairs would lock in the chosen single source of truth."
INV-001,Low,repo-hygiene,.codex/,N/A,N/A,N/A,".codex/ (197MB, untracked) is a separate CLI tool's home directory sitting inside the repo root, not covered by .gitignore (unlike .claude/). Zero references from any project .py file.",Add .codex/ to .gitignore or relocate it outside the repo root.,None needed - pure hygiene.
